# date_time			pesel		WBC     RBC     HMG     HMK     PLT     TOT     HDL     LDL     GLK
2014-01-01 11:23 55092336827   10.84    4.48   19.22   46.27  399.67  146.51  182.11  152.50   34.81
2014-01-01 10:41 66020234971    8.46    6.40   20.04   54.35  392.92  164.30  110.16   87.95  112.72
2014-01-01 14:24 68030389012    6.76    3.47   15.69   47.58  376.24  176.44  135.28   86.38   77.58
2014-01-01 14:37 66039109379    6.67    6.15   16.19   56.45   53.15  173.04   44.22   84.71   36.99
2014-01-01 13:16 75023812351    4.77    6.13   13.02   57.49  292.24  162.39  198.05  152.13  112.16
2014-01-02 17:43 66039109379   10.79    3.22   20.27   55.82  101.16  185.89  207.66  145.55  113.38
2014-01-02 23:01 61052334893    7.42    6.03   16.09   40.33   87.25  173.69  205.73  138.11   77.10
2014-01-02 18:35 68030389012   10.82    3.16   19.91   45.15   59.76  103.25  125.92   72.95  113.34
2014-01-02 10:50 75032383761   10.05    5.92   19.40   49.34  250.31  116.50  194.00   83.57   93.88
2014-01-02 08:33 71121302531    9.29    4.80   19.10   39.13  224.77   95.53  120.10   86.95   39.67
2014-01-03 23:41 66039109379    7.14    6.15   21.01   48.26   68.54  169.13  173.96   73.39   81.91
2014-01-03 09:39 61052334893    6.05    4.73   16.47   46.00   10.50  174.16   35.84   80.93   81.70
2014-01-03 12:39 65012247293    6.67    4.93   16.40   44.67  327.31  172.60  203.70  143.37  107.69
2014-01-03 13:49 71121302531    4.74    4.31   11.70   41.05   11.28  169.00  115.97  151.62   83.16
2014-01-03 19:01 66020234971   11.85    4.60   10.85   46.19  406.28  169.43  207.24  151.73   29.22
2014-01-04 23:23 61052334893    6.89    5.78   11.62   55.88  402.42  141.46  202.01   43.82   82.55
2014-01-04 10:26 87030378472    7.53    4.97   20.22   42.27   48.34   98.62  213.39   54.79   39.48
2014-01-04 21:54 66020234971    3.21    6.30   16.52   48.03  412.48  102.58  123.68   95.44  107.81
2014-01-04 10:04 75023812351   11.08    4.69   11.51   56.77  327.45  184.68   54.17   61.83  105.55
2014-01-04 10:06 71121302531    7.55    6.04   21.16   48.03  356.99  163.86  187.68   77.48   44.53
2014-01-05 11:18 68030389012   11.05    4.76   11.66   46.51  480.27  143.97  127.15  152.43   34.52
2014-01-05 09:24 75023812351    6.87    6.15   15.65   54.98  243.26  174.65   32.37   61.32   46.93
2014-01-05 09:58 75032383761    6.04    5.12   20.18   49.39  255.86   98.99   36.54  136.92   79.08
2014-01-05 17:38 55092336827   11.31    4.89   12.78   57.13   71.77  164.39   42.63  154.55   79.62
2014-01-05 13:30 65012247293    3.74    5.10   15.60   54.06  288.26   80.25  118.45   61.43   50.66
2014-01-06 19:27 66020234971    3.85    3.24   10.97   41.63  321.14   96.76  208.20   58.42   29.33
2014-01-06 14:22 66039109379    9.81    3.19   12.25   47.47  346.60  177.60   34.29  152.90   85.05
2014-01-06 22:45 65012247293   10.23    3.18   16.38   49.42   97.20  176.74   39.73   56.38   85.45
2014-01-06 12:52 75032383761   11.51    4.77   19.94   38.42  112.41  101.54   44.55   55.63   89.34
2014-01-06 18:24 68030389012    9.81    2.90   20.73   55.23  345.09  191.06   51.05  142.09   81.58
2014-01-07 23:49 65012247293   10.08    6.13   20.25   42.99  273.41   91.62   23.96   74.53   42.38
2014-01-07 09:25 75023812351   12.54    5.86   20.80   56.92  333.67  141.98  217.00  150.41   40.04
2014-01-07 09:02 66020234971    5.52    6.23   15.48   56.41  240.50  188.43   34.35  146.45   36.50
2014-01-07 12:07 55092336827   11.25    3.36   12.13   56.13  359.33  188.89  133.34  144.64   89.10
2014-01-07 20:43 87030378472    8.96    4.82   15.81   40.24   55.78   90.88   98.73   45.79   86.57
2014-01-08 18:02 66039109379    5.14    4.84   15.02   56.04  373.17  158.83   89.46   93.04   83.91
2014-01-08 15:20 65012247293    5.63    3.16   12.91   40.22  354.31  165.38  193.09  170.85  110.56
2014-01-08 09:27 71121302531   10.37    4.72   20.30   42.07  344.07   99.05  121.22   67.45  110.50
2014-01-08 19:57 66020234971    3.86    3.15   16.34   48.45  272.08  185.14   34.75   43.99  106.41
2014-01-08 08:05 68030389012    5.23    6.12   15.82   45.62  436.53  164.48  111.54  131.47   40.35
2014-01-09 18:16 66020234971    7.42    4.84   11.80   55.35  260.89  154.47  123.91   69.31  117.88
2014-01-09 22:23 55092336827    3.99    5.06   11.91   45.66  393.81  182.90  120.79   76.25   46.22
2014-01-09 07:10 75023812351    3.69    4.56   16.45   47.57    8.48  108.07   54.14  148.79   83.82
2014-01-09 09:21 66039109379    6.93    3.26   19.69   42.77  336.42  154.64  122.09  142.05  116.60
2014-01-09 15:09 87030378472   11.78    5.76   15.89   47.21  278.84  150.05   36.82   79.83   86.54
2014-01-10 21:12 66039109379    5.89    5.99   14.72   38.23  100.11  180.91  117.26   74.18  119.03
2014-01-10 18:02 66020234971    8.58    3.07   21.50   40.39  290.52  175.78   45.94  158.55   83.44
2014-01-10 18:46 75023812351    5.98    3.21   20.91   56.41  251.49  186.58  201.07   80.43   91.52
2014-01-10 15:38 75032383761    8.26    6.35   20.03   45.58  460.94  167.97  122.52   65.14   86.15
2014-01-10 19:01 68030389012    3.98    6.04   15.91   44.16  323.35  181.65  190.26   93.74  109.72
2014-01-11 12:02 66039109379   11.27    3.05   15.56   60.62  316.04  162.73  198.34   63.87   90.26
2014-01-11 10:38 65012247293   10.98    3.07   18.64   42.43   66.11  162.08   39.35   57.51   42.69
2014-01-11 12:06 61052334893    9.91    3.18   18.16   54.59  244.00  104.99   34.61   66.30  107.80
2014-01-11 17:33 75023812351    9.61    3.24   19.84   46.87  380.11  155.87   42.45   47.97  102.92
2014-01-11 19:23 55092336827    7.33    5.96   15.93   45.19  334.72  142.64  106.77   39.47  117.62
2014-01-12 15:33 87030378472    2.10    5.95   19.63   55.56  357.63  124.87  142.92   69.16   37.00
2014-01-12 08:03 75023812351    9.78    4.94   12.49   55.95   76.21  100.62   41.58   75.34  104.57
2014-01-12 12:36 71121302531    4.46    5.83   12.18   50.19  191.63  163.43  112.43   77.98  114.26
2014-01-12 11:04 68030389012    6.03    3.58   21.76   36.84  405.14   99.95   45.88  160.02   85.82
2014-01-12 23:04 66039109379    7.49    5.24   15.76   53.11  415.38  109.84   27.93   82.19   39.04
2014-01-13 20:00 75032383761   11.14    6.27   15.61   44.56  249.89  157.18  203.29   87.94   43.85
2014-01-13 16:32 66039109379   11.06    5.71   11.22   55.18  317.60  108.14   39.64   67.44   80.81
2014-01-13 12:05 61052334893    7.12    4.90   20.30   48.19  323.18   76.36   29.61   72.77   98.15
2014-01-13 11:55 66020234971    5.03    6.19   12.00   44.60   50.00  166.13   50.02   96.14  109.26
2014-01-13 20:39 71121302531    7.02    4.72   16.74   42.15  364.64  107.17  120.94  135.78  111.83
