# Informacje o pacjencie
# id      imię        nazwisko        pesel           telefon
  1       Jan         Kowalski        71121302531     613784423   
  2       Jan         Nowak           68030389012     734987421
  3       Robert      Wiśniewski      75023812351     813452464     
  4       Stefan      Klimek          61052334893     678202836
  5       Mariusz     Gruszka         65012247293     793764926      
  6       Antoni      Rola            55092336827     782472740
  7       Alina       Flądra          66020234971     872530271
  8       Grzeorz     Miklasz         87030378472     503927193     
  9       Eugenisz    Folicki         66039109379     876263927
  10      Piotr       Wolszczakowski  75032383761     873649272
